"surah","ayahs","cause"
3,"12","عَنِ ابْنِ عَبَّاسٍ رضي الله عنهما قَالَ: لَمَّا أَصَابَ رَسُولُ اللهِ ﷺ قُرَيْشاً يَوْمَ بَدْرٍ وَقَدِمَ الْمَدِينَةَ جَمَعَ الْيَهُودَ فِي سُوقِ بَنِي قَيْنقَاع، فَقَالَ: « يَا مَعْشَرَ يَهُودَ، أَسْلِمُوا قَبْلَ أَنْ يُصِيبَكُمْ مِثْلُ مَا أَصَابَ قُرَيْشاً » قَالُوا: يَا مُحَمَّدُ، لَا يَغُرَّنَّكَ مِنْ نَفْسِكَ أَنَّكَ قَتَلْتَ نَفَراً مِنْ قُرَيْشٍ، كَانُوا أَغْمَاراً لَا يَعْرِفُونَ الْقِتَالَ، إِنَّكَ لَوْ قَاتَلْتَنَا لَعَرَفَتْ أَنَّا نَحْنُ النَّاسُ، وَأَنَّكَ لَمْ تَلْقَ مِثْلَنَا. فَأَنْزَلَ اللهُ عز و جل فِي ذَلِكَ { قُل لِّلَّذِينَ كَفَرُوا۟ سَتُغْلَبُونَ } إِلَى قَوْلِهِ: { فِئَةٌ تُقَـٰتِلُ فِى سَبِيلِ ٱللَّهِ } بِبَدْرٍ { وَأُخْرَىٰ كَافِرَةٌ }."
3,"12","عن عاصم بن عمر بن قتادة رحمهم الله تعالى: أن رسول الله ﷺ لما أصاب من أهل بدر ما أصاب، ورجع إلى المدينة، جمع اليهود في سوق بني قينقاع، وقال: « يا معشر يهود، أسلموا قبل أن يصيبكم الله بما أصاب قريشاً »، فقالوا: يا محمد لا يغرنك من نفسك أن قتلت نفراً من قريش كانوا أغماراً لا يعرفون القتال، إنك والله لو قاتلتنا العرفت أنا نحن الناس وإنك لم تلق مثلنا، فأنزل الله في ذلك من قولهم { قُل لِّلَّذِينَ كَفَرُوا۟ سَتُغْلَبُونَ وَتُحْشَرُونَ إِلَىٰ جَهَنَّمَ ۚ وَبِئْسَ ٱلْمِهَادُ ﴿١٢﴾ } الي قوله { لَعِبْرَةً لِّأُو۟لِى ٱلْأَبْصَـٰرِ }."
3,"23","عن ابن عباس رضي الله عنهما قال: دخل رسول الله بيت المدراس على جماعة من يهود فدعاهم إلى الله، فقال له نعيم بن عمرو والحارث بن زيد: على أي دين أنت يا محمد؟ فقال: « على ملة إبراهيم ودينه »، فقالا: فإن إبراهيم كان يهودياً. فقال لهما رسول الله ﷺ: « فهلموا إلى التوراة فهي بيننا وبينكم »، فأبوا عليه، فأنزل الله عز و جل { أَلَمْ تَرَ إِلَى ٱلَّذِينَ أُوتُوا۟ نَصِيبًا مِّنَ ٱلْكِتَـٰبِ يُدْعَوْنَ إِلَىٰ كِتَـٰبِ ٱللَّهِ لِيَحْكُمَ بَيْنَهُمْ ثُمَّ يَتَوَلَّىٰ فَرِيقٌ مِّنْهُمْ وَهُم مُّعْرِضُونَ ﴿٢٣﴾... } إلى قوله:{... مَّا كَانُوا۟ يَفْتَرُونَ }."
3,"28","عن ابن عباس رضي الله عنهما قال: كان الحجّاج بن عمرو حليف كعب بن الأشرف، وابن أبي الحقيق، وقيس بن زيد، قد بطنوا بنفر من الأنصار ليفتنوهم عن دينهم، فقال رفاعة بن المنذر بن زبير، وعبد الله بن جبير، وسعد بن خيثمة لأولئك النفر: اجتنبوا هؤلاء اليهود، واحذروا لزومهم ومباطنتهم لا يفتنوكم عن دينكم، فأبى أولئك النفر إلا مباطنتهم ولزومهم، فأنزل الله عز جل { لَّا يَتَّخِذِ ٱلْمُؤْمِنُونَ ٱلْكَـٰفِرِينَ أَوْلِيَآءَ مِن دُونِ ٱلْمُؤْمِنِينَ ۖ }."
3,"61","عن جابر رضي الله عنه قال: قدم وفد أهل نجران على النبي ﷺ العاقب والسيد، فدعاهما إلى الإسلام، فقالا: أسلمنا قبلك، قال: « كذبتما، إن شئت أخبرتكما بما يمنعكما من الإسلام؟ » فقالا: هات أنبئنا، فقال: « حب الصليب، وشرب الخمر، وأكل لحم الخنزير »، فدعاهما إلى الملاعنة، فوعداه على أن يغادياه بالغداة، فغدا رسول الله، فأخذ بيد علي وفاطمة والحسن والحسين، ثم أرسل إليهما فأبيا أن يجيبا، فأقرا له بالخراج، فقال النبي ﷺ: « والذي بعثني بالحق لو فعلا لمطر الوادي ناراً ». قال جابر: فنزلت فيهم هذه الآية: { فَقُلْ تَعَالَوْا۟ نَدْعُ أَبْنَآءَنَا وَأَبْنَآءَكُمْ وَنِسَآءَنَا وَنِسَآءَكُمْ وَأَنفُسَنَا وَأَنفُسَكُمْ }."
3,"72","عن ابن عباس رضي الله عنهما في قوله: { وَقَالَت طَّآئِفَةٌ مِّنْ أَهْلِ ٱلْكِتَـٰبِ ءَامِنُوا۟ بِٱلَّذِىٓ أُنزِلَ عَلَى ٱلَّذِينَ ءَامَنُوا۟ وَجْهَ ٱلنَّهَارِ } الآية: وذلك أن طائفة من اليهود قالوا: إذا لقيتم أصحاب محمد ﷺ أول النهار فآمنوا، وإذا كان آخره فصلوا صلاتكم، لعلهم يقولون هؤلاء أهل الكتاب وهم أعلم منا، لعلهم ينقلبون عن دينهم، ولا تؤمنوا إلا لمن تبع دينكم."
3,"77","عَنْ أَبِي وَائِلٍ رحمه الله قَالَ: قَالَ عَبْدُ اللَّهِ رضي الله عنه: مَنْ حَلَفَ عَلَى يَمِينِ يَسْتَحِقُّ بِهَا مَالاً، وَهُوَ فِيهَا فَاجِرٌ لَقِيَ اللَّهَ وَهُوَ عَلَيْه غَضْبَانُ، فَأَنْزَلَ اللَّهُ تَصْدِيقَ { إِنَّ ٱلَّذِينَ يَشْتَرُونَ بِعَهْدِ ٱللَّهِ وَأَيْمَـٰنِهِمْ ثَمَنًا قَلِيلًا } فَقَرَأَ إِلَى { عَذَابٌ أَلِيمٌ }، ثُمَّ إِنَّ الْأَشْعَثَ بْنَ قَيْسٍ رضي الله عنه خَرَجَ إِلَيْنَا فَقَال: مَا يُحَدِّثُكُمْ أَبُو عَبْدِ الرَّحْمَنِ؟ قَالَ: فَحَدَّثْنَاهُ، قَالَ: فَقَالَ: صَدَقَ، لَفِيَّ وَاللهِ، أُنْزِلَتْ، كَانَتْ بَيْنِي وَبَيْنَ رَجُلٍ خُصُومَةٌ فِي بِئْرٍ فَاخْتَصَمْنَا إِلَى رَسُولِ اللهِ ﷺ، فَقَالَ رَسُولُ اللهِ: « شَاهَدَاكَ أَوْ يَمِينُهُ ». قُلْتُ: إِنَّهُ إِذَاً يَحْلِفُ وَلَا يُبَالِي، فَقَالَ رَسُولُ اللهِ ﷺ: « مَنْ حَلَفَ عَلَى يَمِينٍ يَسْتَحِقُّ بِهَا مَالاً، وَهُوَ فِيهَا فَاجِرٌ لَقِيَ اللهُ وَهُوَ عَلَيْهِ غَضْبَانُ »، فَأَنْزَلَ اللهُ تَصْدِيقَ ذَلِكَ، ثُمَّ اقْتَرَأَ هَذِهِ الْآيَةَ { إِنَّ ٱلَّذِينَ يَشْتَرُونَ بِعَهْدِ ٱللَّهِ وَأَيْمَـٰنِهِمْ ثَمَنًا قَلِيلًا } إِلَى { وَلَهُمْ عَذَابٌ أَلِيمٌ }."
3,"77","وهناك سبب آخر للنزول: فقد جاء عن عبد الله بن أبي أوفى رضي الله تعالى عنه أن رجلاً أقام سلعة وهو في السوق، فحلف بالله لقد أعطي بها ما لم يعط ليوقع فيها رجلاً من المسلمين، فنزلت { إِنَّ ٱلَّذِينَ يَشْتَرُونَ بِعَهْدِ ٱللَّهِ وَأَيْمَـٰنِهِمْ ثَمَنًا قَلِيلًا }."
3,"86","عَنِ ابْنِ عَبَّاسٍ رضي الله عنهما قَالَ: كَانَ رَجُلٌ مِنْ الْأَنْصَارِ أَسْلَمَ ثُمَّ ارْتَدَّ وَلَحِقَ بِالشَّرْكِ، ثُمَّ تَنَدَّمَ فَأَرْسَلَ إِلَى قَوْمِهِ: سَلُوا لِي رَسُولَ اللهِ ﷺ هَلْ لِي
مِنْ تَوْبَةٍ؟ فَجَاءَ قَوْمُهُ إِلَى رَسُولِ اللهِ ﷺ فَقَالُوا: إِنَّ فُلاناً قَدْ نَدِمَ، وَإِنَّهُ أَمَرَنَا أَنْ نَسْأَلَكَ هَلْ لَهُ مِنْ تَوْبَةٍ؟ فَنَزَلَتْ { كَيْفَ يَهْدِى ٱللَّهُ قَوْمًا كَفَرُوا۟ بَعْدَ إِيمَـٰنِهِمْ } إِلَى قَوْلِهِ { غَفُورٌ رَّحِيمٌ } فَأَرْسَلَ إِلَيْهِ، فَأَسْلَمَ."
3,"101-102-103","عن ابن عباس رضي الله عنهما قال: كانت الأوس والخزرج في الجاهلية بينهم شر، فبينما هم يوماً جلوس، ذكروا ما بينهم حتى غضبوا، فقام بعضهم إلى بعض بالسلاح ؛ فنزلت { وَكَيْفَ تَكْفُرُونَ وَأَنتُمْ تُتْلَىٰ عَلَيْكُمْ ءَايَـٰتُ ٱللَّهِ وَفِيكُمْ رَسُولُهُۥ ۗ  } الآية كلها، والآيتان بعدها إلى { وَٱذْكُرُوا۟ نِعْمَتَ ٱللَّهِ عَلَيْكُمْ إِذْ كُنتُمْ أَعْدَآءً فَأَلَّفَ بَيْنَ قُلُوبِكُمْ }."
