"surah","ayahs","occasion"
4,"3","عَنْ عَائِشَةَ رضي الله عنها: أَنَّ رَجُلًا كَانَتْ لَهُ يَتِيمَةٌ فَنَكَحَهَا، وَكَانَ لَهَا عَذْقٌ، وَكَانَ يُمْسِكُهَا عَلَيْهِ، وَلَمْ يَكُنْ لَهَا مِنْ نَفْسِهِ شَيْءٌ، فَنَزَلَتْ فِيهِ { وَإِنْ خِفْتُمْ أَلَّا تُقْسِطُوا۟ فِى ٱلْيَتَـٰمَىٰ فَٱنكِحُوا۟ } أَحْسِبُهُ قَالَ: كَانَتْ شَرِيكَتَهُ فِي ذَلِكَ الْعَذْقِ وَفِي مَالِهِ."
4,"11","عَنْ جَابِرٍ رضي الله عنه قَالَ: عَادَنِي النَّبِيُّ ﷺ وَأَبُو بَكْرٍ فِي بَنِي سَلِمَةَ مَاشِيَيْنِ، فَوَجَدَنِي النَّبِيُّ ﷺ لَا أَعْقِلُ شَيْئاً، فَدَعَا بِمَاءٍ فَتَوَضَّأَ مِنْهُ، ثُمَّ رَشَّ عَلَيَّ فَأَفَقْتُ، فَقُلْتُ: مَا تَأْمُرُنِي أَنْ أَصْنَعَ فِي مَالِي يَا رَسُولَ اللَّهِ؟ فَنَزَلَتْ { يُوصِيكُمُ ٱللَّهُ فِىٓ أَوْلَـٰدِكُمْ ۖ }."
4,"11","وللآية سبب آخر للنزول: عَنْ جَابِرِ بْنِ عَبْدِ اللَّهِ رضي الله عنهما قَالَ: جَاءَتِ امْرَأَةُ سَعْدِ بْنِ الرَّبِيعِ بِابْنَتَيْهَا مِنْ سَعْدٍ إِلَى رَسُولِ اللَّهِ ﷺ، فَقَالَتْ: يَا رَسُولَ اللَّهِ، هَاتَانِ ابْنَتَا سَعْدِ بْنِ الرَّبِيعِ، قُتِلَ أَبُوهُمَا مَعَكَ يَوْمَ أُحُدٍ شَهِيداً، وَإِنَّ عَمَّهُمَا أَخَذَ مَالَهُمَا فَلَمْ يَدَعْ لَهُمَا مَالًا، وَلَا تُنْكَحَانِ إِلَّا وَلَهُمَا مَالٌ؟ قَالَ: « يَقْضِي اللَّهُ فِي ذَلِكَ ». فَنَزَلَتْ آيَةُ الْمِيرَاثِ، فَبَعَثَ رَسُولُ اللهِ ﷺ إِلَى عَمِّهِمَا فَقَالَ: « أَعْطِ ابْنَتَيْ سَعْدٍ الثَّلُثَيْنِ، وَأَعْطِ أُمَّهُمَا الثُّمُنَ، وَمَا بَقِيَ فَهُوَ لَكَ »، واللفظ للترمذي."
4,"19","عن أبي أمامة بن سهل بن حنيف قال: لما توفي أبو قيس بن الأسلت، أراد ابنه أن يتزوج امرأته من بعده، وكان ذلك لهم في الجاهلية فأنزل الله عز و جل { لَا يَحِلُّ لَكُمْ أَن تَرِثُوا۟ ٱلنِّسَآءَ كَرْهًا ۖ }."
4,"24","عَنْ أَبِي سَعِيدٍ الْخُدْرِيِّ رضي الله عنه: أَنَّ نَبِيَّ اللَّهِ ﷺ بَعَثَ جَيْشَاً إِلَى أَوْطَاسٍ فَلَقُوا عَدُوًّا، فَقَاتَلُوهُمْ، وَظَهَرُوا عَلَيْهِمْ، فَأَصَابُوا لَهُمْ سَبَايَا لَهُنَّ أَزْوَاجٌ فِي الْمُشْرِكِينَ، فَكَانَ الْمُسْلِمُونَ تَحَرَّجُوا مِنْ غِشْيَانِهِنَّ، فَأَنْزَلَ اللَّهُ عز و جل: { وَٱلْمُحْصَنَـٰتُ مِنَ ٱلنِّسَآءِ إِلَّا مَا مَلَكَتْ أَيْمَـٰنُكُمْ ۖ }، أَيْ: هَذَا لَكُمْ حَلالٌ إِذَا انْقَضَتْ عِدَّتُهُنَّ."
4,"24","وقد جاء من حديث ابن عباس رضي الله عنهما شبيهاً به."
4,"32","عَنْ أُمِّ سَلَمَةَ رضي الله عنها أَنَّهَا قَالَتْ: يَغْزُو الرِّجَالُ وَلَا تَغْزُو النِّسَاءُ، وَإِنَّمَا لَنَا نِصْفُ الْمِيرَاثِ، فَأَنْزَلَ اللهُ تَبَارَكَ وَتَعَالَى { وَلَا تَتَمَنَّوْا۟ مَا فَضَّلَ ٱللَّهُ بِهِۦ بَعْضَكُمْ عَلَىٰ بَعْضٍ ۚ }."
4,"32","وقد جاء من حديث ابن عباس رضي الله عنهما شبيهاً به."
4,"37","عن ابن عباس رضي الله عنهما قال: كان كردم بن زيد حليف كعب بن الأشرف، وأسامة بن حبيب، ونافع بن أبي نافع، وبحري بن عمرو، وحي بن أخطب، ورفاعة بن زيد بن التابوت، يأتون رجالاً من الأنصار، وكانوا يخالطونهم يتنصحون لهم من أصحاب رسول الله ﷺ، فيقولون لهم: لا تنفقوا أموالكم فإنا نخشى عليكم الفقر في ذهابها، ولا تسارعوا في النفقة فإنكم لا تدرون ما يكون، فأنزل الله فيهم: { ٱلَّذِينَ يَبْخَلُونَ وَيَأْمُرُونَ ٱلنَّاسَ بِٱلْبُخْلِ وَيَكْتُمُونَ مَآ ءَاتَىٰهُمُ ٱللَّهُ مِن فَضْلِهِۦ ۗ }، أي من النبوة التي فيها تصديق ما جاء به محمد ﷺ { وَأَعْتَدْنَا لِلْكَـٰفِرِينَ عَذَابًا مُّهِينًا }."
4,"43","عَنْ عَلِيِّ بْنِ أَبِي طَالِبٍ رضي الله عنه قَالَ: صَنَعَ لَنَا عَبْدُ الرَّحْمَنِ بْنُ عَوْفٍ طَعَاماً، فَدَعَانَا وَسَقَانَا مِنْ الْخَمْرِ، فَأَخَذَتِ الْخَمْرُ مِنَّا وَحَضَرَتِ الصَّلَاةُ، فَقَدَّمُونِي فَقَرَأْتُ: { قُلْ يَـٰٓأَيُّهَا ٱلْكَـٰفِرُونَ ﴿١﴾ لَآ أَعْبُدُ مَا تَعْبُدُونَ ﴿٢﴾ و نحن نعبد ما تعبدون }، قَالَ: فَأَنْزِلَ اللهُ تَعَالَى { يَـٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوا۟ لَا تَقْرَبُوا۟ ٱلصَّلَوٰةَ وَأَنتُمْ سُكَـٰرَىٰ حَتَّىٰ تَعْلَمُوا۟ مَا تَقُولُونَ }. واللفظ للترمذي."
4,"43","وقد جاء من حديث عبد الله بن حبيب شبيهاً به."
4,"48","عن أبي أيوب رضي الله عنه قال: جاء رجل إلى النبي ﷺ فقال: إن لي ابن أخ لا ينتهي عن حرام، قال: « ما دينه » قال: يوحد الله ويصلي، قال: « فاستوهب منه دينه فإن أبى فابتعه منه » فطلب ذلك الرجل منه دينه فأبي عليه، فأتى النبي ﷺ فقال: وجدته شحيحاً على دينه، فنزلت { إِنَّ ٱللَّهَ لَا يَغْفِرُ أَن يُشْرَكَ بِهِۦ وَيَغْفِرُ مَا دُونَ ذَٰلِكَ لِمَن يَشَآءُ ۚ }"
4,"51","عن ابن عباس رضي الله عنهما قال: لما قدم كعب بن الأشرف مكة، قالت قريش: ألا ترى هذا الصنبور المنبتر من قومه؟ يزعم أنه خير منا، ونحن أهل الحجيج وأهل السدانة وأهل السقاية!! قال: أنتم خير، قال: فنزلت فيهم { إِنَّ شَانِئَكَ هُوَ ٱلْأَبْتَرُ ﴿٣﴾ } ونزل { أَلَمْ تَرَ إِلَى ٱلَّذِينَ أُوتُوا۟ نَصِيبًا مِّنَ ٱلْكِتَـٰبِ } إلى { نَصِيرًا }."
4,"51","وجاء عن عكرمة شبيهاً به."
4,"59","وجاء عن عكرمة شبيهاً به.عَنْ ابْنِ عَبَّاسِ رضي الله عنهما: { أَطِيعُوا۟ ٱللَّهَ وَأَطِيعُوا۟ ٱلرَّسُولَ وَأُو۟لِى ٱلْأَمْرِ مِنكُمْ ۖ  } قَالَ: نَزَلَتْ فِي عَبْدِ اللَّهِ بْنِ حُذَافَةَ بْنِ قَيْسِ بْنِ عَدِيِّ، إِذْ بَعَثَهُ النَّبِيُّ ﷺ فِي سَرِيَّةٍ. واللفظ للبخاري."
4,"60","عن ابن عباس رضي الله عنهما قال: كان أبو برزة الأسلمي كاهناً يقضي بين اليهود فيما يتنافرون فيه، فتنافر إليه ناس من المشركين، فأنزل الله عز و جل { أَلَمْ تَرَ إِلَى ٱلَّذِينَ يَزْعُمُونَ أَنَّهُمْ ءَامَنُوا۟ بِمَآ أُنزِلَ إِلَيْكَ وَمَآ أُنزِلَ مِن قَبْلِكَ } إِلى قوله إن { إِنْ أَرَدْنَآ إِلَّآ إِحْسَـٰنًا وَتَوْفِيقًا }."
